No,DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Num Cited By,Num Cites,Maps,Included
12,10.22331/Q-2018-01-31-49,ProjectQ: An Open Source Software Framework for Quantum Computing,"Damian S. Steiger, Thomas Häner, Matthias Troyer",arXiv: Quantum Physics,2016,"We introduce ProjectQ, an open source software effort for quantum computing. The first release features a compiler framework capable of targeting various types of hardware, a high-performance simulator with emulation capabilities, and compiler plug-ins for circuit drawing and resource estimation. We introduce our Python-embedded domain-specific language, present the features, and provide example implementations for quantum algorithms. The framework allows testing of quantum algorithms through simulation and enables running them on actual quantum hardware using a back-end connecting to the IBM Quantum Experience cloud service. Through extension mechanisms, users can provide back-ends to further quantum hardware, and scientists working on quantum compilation can provide plug-ins for additional compilation, optimization, gate synthesis, and layout strategies.",2566002283,260,24,"Seed: Hassija, 2...",
13,10.3390/A12020034,From the Quantum Approximate Optimization Algorithm to a Quantum Alternating Operator Ansatz.,"Stuart Hadfield, Zhihui Wang, Bryan O'Gorman, Eleanor G. Rieffel, Davide Venturelli, Rupak Biswas",arXiv: Quantum Physics,2017,"The next few years will be exciting as prototype universal quantum processors emerge, enabling implementation of a wider variety of algorithms. Of particular interest are quantum heuristics, which require experimentation on quantum hardware for their evaluation, and which have the potential to significantly expand the breadth of quantum computing applications. A leading candidate is Farhi et al.'s Quantum Approximate Optimization Algorithm, which alternates between applying a cost-function-based Hamiltonian and a mixing Hamiltonian. Here, we extend this framework to allow alternation between more general families of operators. The essence of this extension, the Quantum Alternating Operator Ansatz, is the consideration of general parametrized families of unitaries rather than only those corresponding to the time-evolution under a fixed local Hamiltonian for a time specified by the parameter. This ansatz supports the representation of a larger, and potentially more useful, set of states than the original formulation, with potential long-term impact on a broad array of application areas. For cases that call for mixing only within a desired subspace, refocusing on unitaries rather than Hamiltonians enables more efficiently implementable mixers than was possible in the original framework. Such mixers are particularly useful for optimization problems with hard constraints that must always be satisfied, defining a feasible subspace, and soft constraints whose violation we wish to minimize. More efficient implementation enables earlier experimental exploration of an alternating operator approach to a wide variety of approximate optimization, exact optimization, and sampling problems. Here, we introduce the Quantum Alternating Operator Ansatz, lay out design criteria for mixing operators, detail mappings for eight problems, and provide brief descriptions of mappings for diverse problems.",2754868542,240,106,Seed: Chancellor...,
14,10.1038/NATURE23879,Hardware-efficient variational quantum eigensolver for small molecules and quantum magnets,"Abhinav Kandala, Antonio Mezzacapo, Kristan Temme, Maika Takita, Markus Brink, Jerry M. Chow, Jay M. Gambetta",Nature,2017,"The ground-state energy of small molecules is determined efficiently using six qubits of a superconducting quantum processor. Quantum simulation is currently the most promising application of quantum computers. However, only a few quantum simulations of very small systems have been performed experimentally. Here, researchers from IBM present quantum simulations of larger systems using a variational quantum eigenvalue solver (or eigensolver), a previously suggested method for quantum optimization. They perform quantum chemical calculations of LiH and BeH2 and an energy minimization procedure on a four-qubit Heisenberg model. Their application of the variational quantum eigensolver is hardware-efficient, which means that it is optimized on the given architecture. Noise is a big problem in this implementation, but quantum error correction could eventually help this experimental set-up to yield a quantum simulation of chemically interesting systems on a quantum computer. Quantum computers can be used to address electronic-structure problems and problems in materials science and condensed matter physics that can be formulated as interacting fermionic problems, problems which stretch the limits of existing high-performance computers1. Finding exact solutions to such problems numerically has a computational cost that scales exponentially with the size of the system, and Monte Carlo methods are unsuitable owing to the fermionic sign problem. These limitations of classical computational methods have made solving even few-atom electronic-structure problems interesting for implementation using medium-sized quantum computers. Yet experimental implementations have so far been restricted to molecules involving only hydrogen and helium2,3,4,5,6,7,8. Here we demonstrate the experimental optimization of Hamiltonian problems with up to six qubits and more than one hundred Pauli terms, determining the ground-state energy for molecules of increasing size, up to BeH2. We achieve this result by using a variational quantum eigenvalue solver (eigensolver) with efficiently prepared trial states that are tailored specifically to the interactions that are available in our quantum processor, combined with a compact encoding of fermionic Hamiltonians9 and a robust stochastic optimization routine10. We demonstrate the flexibility of our approach by applying it to a problem of quantum magnetism, an antiferromagnetic Heisenberg model in an external magnetic field. In all cases, we find agreement between our experiments and numerical simulations using a model of the device with noise. Our results help to elucidate the requirements for scaling the method to larger systems and for bridging the gap between key problems in high-performance computing and their implementation on quantum hardware.",2755255888,1548,49,Seed: Chancellor...,
15,10.1088/1361-6633/AAD5B2,Photonic quantum information processing: a review,"Fulvio Flamini, Nicolò Spagnolo, Fabio Sciarrino",arXiv: Quantum Physics,2018,"Photonic quantum technologies represent a promising platform for several applications, ranging from long-distance communications to the simulation of complex phenomena. Indeed, the advantages offered by single photons do make them the candidate of choice for carrying quantum information in a broad variety of areas with a versatile approach. Furthermore, recent technological advances are now enabling first concrete applications of photonic quantum information processing. The goal of this manuscript is to provide the reader with a comprehensive review of the state of the art in this active field, with a due balance between theoretical, experimental and technological results. When more convenient, we will present significant achievements in tables or in schematic figures, in order to convey a global perspective of the several horizons that fall under the name of photonic quantum information.",2793137815,265,816,"Seed: Manzalini,...",
16,10.22331/Q-2019-03-11-129,Strawberry Fields: A Software Platform for Photonic Quantum Computing,"Nathan Killoran, Josh Izaac, Nicolás Quesada, Ville Bergholm, Matthew Amy, Christian Weedbrook",arXiv: Quantum Physics,2018,"We introduce Strawberry Fields, an open-source quantum programming architecture for light-based quantum computers, and detail its key features. Built in Python, Strawberry Fields is a full-stack library for design, simulation, optimization, and quantum machine learning of continuous-variable circuits. The platform consists of three main components: (i) an API for quantum programming based on an easy-to-use language named Blackbird; (ii) a suite of three virtual quantum computer backends, built in NumPy and TensorFlow, each targeting specialized uses; and (iii) an engine which can compile Blackbird programs on various backends, including the three built-in simulators, and -- in the near future -- photonic quantum information processors. The library also contains examples of several paradigmatic algorithms, including teleportation, (Gaussian) boson sampling, instantaneous quantum polynomial, Hamiltonian simulation, and variational quantum circuit optimization.",2796615720,113,126,"Seed: Hassija, 2...",
17,10.1126/SCIENCE.AAM9288,Quantum internet: A vision for the road ahead.,"Stephanie Wehner, David Elkouss, Ronald Hanson",Science,2018,"The internet-a vast network that enables simultaneous long-range classical communication-has had a revolutionary impact on our world. The vision of a quantum internet is to fundamentally enhance internet technology by enabling quantum communication between any two points on Earth. Such a quantum internet may operate in parallel to the internet that we have today and connect quantum processors in order to achieve capabilities that are provably impossible by using only classical means. Here, we propose stages of development toward a full-blown quantum internet and highlight experimental and theoretical progress needed to attain them.",2897264299,843,123,"Seed: Ferrara, 2...",
18,10.3390/QUANTUM1010011,Complex Deep Learning with Quantum Optics,Antonio Manzalini,Quantum Reports,2019,"The rapid evolution towards future telecommunications infrastructures (e.g., 5G, the fifth generation of mobile networks) and the internet is renewing a strong interest for artificial intelligence (AI) methods, systems, and networks. Processing big data to infer patterns at high speeds and with low power consumption is becoming an increasing central technological challenge. Electronics are facing physically fundamental bottlenecks, whilst nanophotonics technologies are considered promising candidates to overcome the limitations of electronics. Today, there are evidences of an emerging research field, rooted in quantum optics, where the technological trajectories of deep neural networks (DNNs) and nanophotonics are crossing each other. This paper elaborates on these topics and proposes a theoretical architecture for a Complex DNN made from programmable metasurfaces; an example is also provided showing a striking correspondence between the equivariance of convolutional neural networks (CNNs) and the invariance principle of gauge transformations.",2966115992,7,55,"Seed: Manzalini,...",
19,(missing DOI),Quantum Computation and Quantum Information,"Michael A. Nielsen, Isaac L. Chuang",qcqi,2010,"Preface Acknowledgement Nomenclature and notation Part I. Fundamental Concepts: 1. Introduction and overview 2. Introduction to quantum mechanics 3. Introduction to computer science Part II. Quantum Computation: 4. Quantum circuits 5. The quantum Fourier transform and its applications 6. Quantum search algorithms 7. Quantum computers: physical realisation Part III. Quantum Information: 8. Quantum noise, open quantum systems, and quantum operations 9. Distance measurement for quantum information 10. Quantum error-correction 11. Entropy and information 12. Quantum information theory Appendix A. Notes on basic probability theory Appendix B. Group theory Appendix C. Approximating quantum gates: the Solvay-Kitaev theorem Appendix D. Number theory Appendix E. Public-key cryptography and the RSA cryptosystem Appendix F. Proof of Lieb's theorem References Index.",2990961515,14223,279,"Seed: Manzalini,..., Seed: Hassija, 2...",
20,10.1146/ANNUREV-CONMATPHYS-031119-050605,Superconducting Qubits: Current State of Play,"Morten  Kjaergaard, Mollie E. Schwartz, Jochen  Braumuller, Philip  Krantz, Joel I-Jan Wang, Simon  Gustavsson, William D. Oliver",(missing journal),2019,"Superconducting qubits are leading candidates in the race to build a quantum computer capable of realizing computations beyond the reach of modern supercomputers. The superconducting qubit modality has been used to demonstrate prototype algorithms in the 'noisy intermediate scale quantum' (NISQ) technology era, in which non-error-corrected qubits are used to implement quantum simulations and quantum algorithms. With the recent demonstrations of multiple high fidelity two-qubit gates as well as operations on logical qubits in extensible superconducting qubit systems, this modality also holds promise for the longer-term goal of building larger-scale error-corrected quantum computers. In this brief review, we discuss several of the recent experimental advances in qubit hardware, gate implementations, readout capabilities, early NISQ algorithm implementations, and quantum error correction using superconducting qubits. While continued work on many aspects of this technology is certainly necessary, the pace of both conceptual and technical progress in the last years has been impressive, and here we hope to convey the excitement stemming from this progress.",2996461799,379,22,"Seed: Hassija, 2...",
21,(missing DOI),An Application of Quantum Annealing Computing to Seismic Inversion,"Alexandre M. Souza, Leonardo J.L. Cirto, Eldues O. Martins, N. Linneu Hollanda, Itzhak Roditi, Maury D. Correia, Nahum Sá, Roberto S. Sarthour, Ivan S. Oliveira",arXiv: Quantum Physics,2020,"Quantum computing, along with quantum metrology and quantum communication, are disruptive technologies that promise, in the near future, to impact different sectors of academic research and industry. Among the computational problems with great interest in science and industry are the inversion problems. These kinds of problems can be described as the process of determining the cause of an event from measurements of its effects. In this paper, we apply a recursive quantum algorithm to a D-Wave quantum annealer housed at the University of Southern California to recover a sound wave speed profile, typical in seismic inversion experiments. We compare the obtained results from the quantum computer to those derived from a classical computer. The accuracy achieved by the quantum computer is nearly the same as that of the classical computer.",3021175270,1,55,Seed: Chancellor...,
22,10.1103/REVMODPHYS.74.145,Quantum Cryptography,"Nicolas Gisin, Grégoire Ribordy, Wolfgang Tittel, Hugo Zbinden",Reviews of Modern Physics,2001,"Quantum cryptography could well be the first application of quantum mechanics at the individual quanta level. The very fast progress in both theory and experiments over the recent years are reviewed, with emphasis on open questions and technological issues.",3038067977,6213,190,"Seed: Cavaliere,...",
23,10.1109/FOCS.2016.81,Simulated Quantum Annealing Can Be Exponentially Faster Than Classical Simulated Annealing,"Elizabeth Crosson, Aram W. Harrow",foundations of computer science,2016,"Can quantum computers solve optimization problems much more quickly than classical computers? One major piece of evidence for this proposition has been the fact that Quantum Annealing (QA) finds the minimum of some cost functions exponentially more quickly than classical Simulated Annealing (SA). One such cost function is the simple ""Hamming weight with a spike"" function in which the input is an n-bit string and the objective function is simply the Hamming weight, plus a tall thin barrier centered around Hamming weight n/4. While the global minimum of this cost function can be found by inspection, it is also a plausible toy model of the sort of local minima that arise in real-world optimization problems. It was shown by Farhi, Goldstone and Gutmann that for this example SA takes exponential time and QA takes polynomial time, and the same result was generalized by Reichardt to include barriers with width and height scaling as positive powers of n such that the total area under the barrier is at most the square root of n. This advantage could be explained in terms of quantum-mechanical ""tunneling."" Our work considers a classical algorithm known as Simulated Quantum Annealing (SQA) which relates certain quantum systems to classical Markov chains. By proving that these chains mix rapidly, we show that SQA runs in polynomial time on the Hamming weight with spike problem in much of the parameter regime where QA achieves an exponential advantage over SA. While our analysis only covers this toy model, it can be seen as evidence against the prospect of exponential quantum speedup using tunneling. Our technical contributions include extending the canonical path method for analyzing Markov chains to cover the case when not all vertices can be connected by low-congestion paths. We also develop methods for taking advantage of warm starts and for relating the quantum state in QA to the probability distribution in SQA. These techniques may be of use in future studies of SQA or of rapidly mixing Markov chains in general.",3098531912,86,45,Seed: Chancellor...,
24,10.1002/QUTE.201900038,"High Dimensional Quantum Communication: Benefits, Progress, and Future Challenges","Daniele Cozzolino, Beatrice da Lio, Davide Bacco, Leif Katsuo Oxenløwe",Advanced Quantum Technologies,2019,"In recent years, there has been a rising interest in high-dimensional quantum states and their impact on quantum communication. Indeed, the availability of an enlarged Hilbert space offers multiple advantages, from larger information capacity and increased noise resilience, to novel fundamental research possibilities in quantum physics. Multiple photonic degrees of freedom have been explored to generate high-dimensional quantum states, both with bulk optics and integrated photonics. Furthermore, these quantum states have been propagated through various channels, \textit{e.g.} free-space links, single-mode, multicore, and multimode fibers and also aquatic channels, experimentally demonstrating the theoretical advantages over two-dimensional systems. Here, we review the state of the art on the generation, the propagation and the detection of high-dimensional quantum states.",3100315042,98,245,"Seed: Manzalini,...",
25,10.1038/NPJQI.2015.23,Quantum algorithms: an overview,Ashley Montanaro,arXiv: Quantum Physics,2015,"Quantum computers are designed to outperform standard computers by running quantum algorithms. Areas in which quantum algorithms can be applied include cryptography, search and optimisation, simulation of quantum systems, and solving large systems of linear equations. Here we briefly survey some known quantum algorithms, with an emphasis on a broad overview of their applications rather than their technical details. We include a discussion of recent developments and near-term applications of quantum algorithms.",3100561488,366,137,"Seed: Hassija, 2...",
26,10.22331/Q-2018-08-06-79,Quantum Computing in the NISQ era and beyond,John Preskill,Quantum,2018,"Noisy Intermediate-Scale Quantum (NISQ) technology will be available in the\r\nnear future. Quantum computers with 50-100 qubits may be able to perform tasks\r\nwhich surpass the capabilities of today's classical digital computers, but\r\nnoise in quantum gates will limit the size of quantum circuits that can be\r\nexecuted reliably. NISQ devices will be useful tools for exploring many-body\r\nquantum physics, and may have other useful applications, but the 100-qubit\r\nquantum computer will not change the world right away --- we should regard it\r\nas a significant step toward the more powerful quantum technologies of the\r\nfuture. Quantum technologists should continue to strive for more accurate\r\nquantum gates and, eventually, fully fault-tolerant quantum computing.",3100931082,3088,85,"Seed: Hassija, 2..., Seed: Chancellor...",
27,10.1126/SCIENCE.1177838,Quantum Simulators,"Iulia  Buluta, Franco  Nori",Science,2009,"Ultimate Simulator Many body problems are difficult to model analytically and are often so complex that they cannot be simulated accurately on a classical computer. Because quantum systems can be inherently correlated, it has been proposed that such systems could be used to simulate other complex problems. Buluta and Nori (p. 108) review the progress being made toward realizing quantum simulators, describing some of the implementations and potential applications of using such controlled quantum systems as simulator tools. Quantum simulators are controllable quantum systems that can be used to simulate other quantum systems. Being able to tackle problems that are intractable on classical computers, quantum simulators would provide a means of exploring new physical phenomena. We present an overview of how quantum simulators may become a reality in the near future as the required technologies are now within reach. Quantum simulators, relying on the coherent control of neutral atoms, ions, photons, or electrons, would allow studying problems in various fields including condensed-matter physics, high-energy physics, cosmology, atomic physics, and quantum chemistry.",3155727670,403,2,"Seed: Hassija, 2...",
28,10.1016/J.COMCOM.2021.05.019,"Information security in the post quantum era for 5G and beyond networks: Threats to existing cryptography, and post-quantum cryptography","Vikas  Hassija, Prakhar  Parashari, Vaibhav  Chanana, Alireza  Jolfaei, Vinay  Chamola",(missing journal),2021,"Abstract Quantum computing is an emerging field that uses the concepts of quantum mechanics to outperform classical computers. Quantum computing finds plethora of applications in the 5G and Beyond networks. It can process data at an exponential rate, which can address numerous business and scientific challenges. In this paper, we provide a detailed review of the field, starting from the most important applications of quantum computers and then diving into the future of cryptography. The major applications of quantum computing include unstructured search, quantum simulation, and optimization. It can also provide improvements in terms of speed and accuracy for some existing technologies, such as machine learning. These technologies have numerous applications in 5G and beyond networks. However, due to such abilities of quantum computing, it can also pose a serious risk to many existing security systems, especially the asymmetric key cryptography schemes. The risk of quantum computing has also influenced the mobile broadband standards to move from a symmetric key cryptography techniques to PKI-based trust model. We also discuss in detail various alternate cryptosystems based on mathematical problems that are believed to be hard even for a quantum computer to solve. In parallel, we discuss the developments in the field of quantum key distribution that makes use of quantum phenomenon to develop a quantum-resistant crypto systems. Such quantum-resistant systems have a great potential in provisioning secure 5G and beyond networks.",3167914876,3,132,"Seed: Hassija, 2...",
